adult,budget,genres,original_language,popularity,revenue,runtime,vote_average,vote_count,release_strategy,director_popularity,lead_actor_popularity,avg_top5_cast_popularity,imdb_rating,imdb_votes,period,roi,collection_flag,production_companies_count_cat,origin_country_count_cat,production_countries_count_cat,spoken_languages_count_cat
0,129000000,"['Animation', 'Family', 'Adventure']",en,8.4841,539987993,104,7.7,6861,theatrical,1.0561,2.3982,4.79194,7.4,172883.0,Before COVID,3.185953434108527,1,2,1,1,1
0,11000000,"['Romance', 'Drama', 'History']",en,2.5638,62076141,111,7.3,3189,theatrical,,,,,,Before COVID,4.643285545454545,0,2,1,2,1
0,2000000,"['Drama', 'Fantasy', 'Thriller']",en,5.0036,45431,95,5.7,627,streaming,,,,,,Before COVID,-0.9772845,0,2,1,1,1
0,0,"['Horror', 'Science Fiction', 'Thriller']",en,1.8085,1133031,98,4.7,1106,streaming,0.7325,4.2154,3.9869,4.4,32541.0,Before COVID,,0,2,1,1,1
0,190000000,"['Action', 'Crime', 'Thriller']",en,8.0884,1515400000,139,7.223,11023,theatrical,,,,,,Before COVID,6.975789473684211,1,2,1,1,2
0,40000000,"['Action', 'Horror', 'Science Fiction']",en,0.3558,312242626,107,6.1,3363,theatrical,3.1885,8.4362,8.22496,5.5,106489.0,Before COVID,6.80606565,1,2,1,2,1
0,25000000,"['Western', 'Action', 'Drama']",en,3.3844,3771345,98,5.8,839,theatrical,,,,,,Before COVID,-0.8491462,0,2,1,2,1
0,150000000,"['Action', 'Adventure']",en,6.4548,682716636,131,7.218,9394,theatrical,,,,,,Before COVID,3.55144424,1,2,1,1,2
0,0,['Comedy'],fr,6.0255,423619,87,7.078,535,streaming,,,,,,Before COVID,,0,2,1,2,2
0,18000000,"['Drama', 'Comedy', 'Crime']",en,1.8496,41681746,117,6.9,3251,theatrical,2.0118,6.9145,3.40952,7.1,139607.0,Before COVID,1.3156525555555556,1,2,1,2,2
0,50000000,"['Crime', 'Thriller']",en,6.6114,12951093,137,6.281,1736,theatrical,,,,,,Before COVID,-0.74097814,0,2,1,1,1
0,300000000,"['Adventure', 'Action', 'Science Fiction']",en,8.2107,1332698830,152,6.764,15920,theatrical,2.2682,6.5332,3.70098,6.8,706988.0,Before COVID,3.442329433333333,1,1,1,1,1
0,489900000,"['Adventure', 'Action', 'Science Fiction']",en,8.1709,1074144248,142,6.277,10460,theatrical,2.9634,2.7538,3.70098,6.4,530051.0,Before COVID,1.192578583384364,1,2,1,1,1
0,20000000,"['Thriller', 'Mystery', 'Drama', 'Crime']",en,4.5927,5090852,113,5.929,1330,streaming,,,,,,Before COVID,-0.7454574,0,2,2,2,1
0,20000000,['Drama'],en,4.8562,5000000,111,6.617,437,theatrical,0.403,3.3448,6.53284,6.6,18481.0,Before COVID,-0.75,0,2,1,2,2
0,30000000,"['Comedy', 'Drama']",en,7.1674,49263404,104,6.3,1071,theatrical,,,,,,Before COVID,0.6421134666666667,0,2,1,1,1
0,185000000,"['Action', 'Adventure', 'Science Fiction']",en,4.968,343471816,122,6.782,6883,theatrical,1.7052,4.3143,6.39816,7.0,267373.0,Before COVID,0.8566044108108108,1,2,1,1,1
0,5000000,"['Thriller', 'Action']",en,6.4682,54400000,103,6.947,2640,theatrical,,,,,,Before COVID,9.88,0,2,1,2,2
0,0,"['Drama', 'Romance', 'Science Fiction', 'Thriller']",en,1.0314,121461,97,5.687,969,theatrical,,,,,,Before COVID,,0,2,2,2,1
0,21500000,"['Thriller', 'Action']",en,1.5839,6817535,98,5.566,622,theatrical,0.5161,6.7955,5.37906,5.7,18020.0,Before COVID,-0.6829053488372093,0,2,2,2,2
0,0,['Drama'],en,4.4673,66880,83,5.6,9,theatrical,2.2085,2.2833,2.04084,6.2,661.0,Before COVID,,0,2,1,2,1
0,49000000,"['Crime', 'Action', 'Science Fiction']",en,5.8863,104399548,120,6.785,8238,theatrical,,,,,,Before COVID,1.1306030204081632,0,2,2,2,1
0,55000000,"['Horror', 'Mystery', 'Romance']",en,4.6165,74700000,119,6.662,5116,theatrical,,,,,,Before COVID,0.35818181818181816,0,2,1,1,1
0,70000000,"['Crime', 'Thriller', 'Action']",en,3.8085,17752940,133,5.513,2119,theatrical,,,,,,Before COVID,-0.7463865714285715,0,2,1,1,2
0,75000000,"['Comedy', 'Action', 'Adventure']",en,7.8786,110045109,116,7.082,6632,theatrical,,,,,,Before COVID,0.46726812,0,2,2,1,2
0,0,['Horror'],en,3.2563,8481997,87,5.334,1066,unknown,2.0872,4.0094,4.32812,4.8,16544.0,Before COVID,,1,2,1,1,1
